tag,marcador,goles_local,goles_visita,resultado,registrado
AEK-LAS,1-0,1,0,1,2026-09-09
BRU-AVL,2-3,2,3,2,2026-09-09
DOR-VIL,3-2,3,2,1,2026-09-09
POR-MCI,0-2,0,2,2,2026-09-09
LIL-BET,2-3,2,3,2,2026-09-09
RMA-INT,2-1,2,1,1,2026-09-09
BAR-FEY,5-1,5,1,1,2026-09-09
STU-VIK,3-1,3,1,1,2026-09-09
LIV-ATM,2-1,2,1,1,2026-09-10
NAP-ARS,0-1,0,1,2,2026-09-10
PSG-SLO,6-1,6,1,1,2026-09-10
SPO-GAL,3-1,3,1,1,2026-09-10
FEN-ROM,1-1,1,1,X,2026-09-10
PSV-SHA,1-1,1,1,X,2026-09-10
COM-RBL,4-1,4,1,1,2026-09-10
SLA-LEN,2-3,2,3,2,2026-09-10
BMU-BOD,5-0,5,0,1,2026-09-10
MNU-SAB,4-0,4,0,1,2026-09-10
MX-PUMLEÓ,3-1,3,1,1,2026-09-11
ITA-VENFIO,2-4,2,4,2,2026-09-11
GER-1. SCH,1-3,1,3,2,2026-09-11
FRA-STAMAR,1-0,1,0,1,2026-09-11
SEV-VAL,1-0,1,0,1,2026-09-14
MX-NECPUE,0-1,0,1,2,2026-09-14
MX-ATLPAC,0-3,0,3,2,2026-09-14
MX-TIJQUE,0-1,0,1,2,2026-09-14
RAC-ALA,2-1,2,1,1,2026-09-14
ITA-GENFRO,1-1,1,1,X,2026-09-14
GER-BORSC ,3-0,3,0,1,2026-09-14
GER-FC BAY,2-2,2,2,X,2026-09-14
GER-MAIEIN,1-3,1,3,2,2026-09-14
GER-SC BOR,5-0,5,0,1,2026-09-14
GER-TSGVFB,2-1,2,1,1,2026-09-14
EPL-AFCBRE,2-2,2,2,X,2026-09-14
EPL-ASTNOT,1-2,1,2,2,2026-09-14
EPL-CHEHUL,2-2,2,2,X,2026-09-14
EPL-CRYIPS,2-3,2,3,2,2026-09-14
EPL-LIVFUL,0-0,0,0,X,2026-09-14
OSA-ESP,0-2,0,2,2,2026-09-14
FRA-STRAS ,1-1,1,1,X,2026-09-14
ITA-LAZAC ,2-2,2,2,X,2026-09-14
ATH-ELC,1-1,1,1,X,2026-09-14
EPL-TOTEVE,0-0,0,0,X,2026-09-14
GER-FC WER,1-1,1,1,X,2026-09-14
ITA-ATACAG,1-2,1,2,2,2026-09-14
FRA-AJ NIC,1-0,1,0,1,2026-09-14
FRA-LE ANG,0-0,0,0,X,2026-09-14
FRA-LORTOU,2-2,2,2,X,2026-09-14
FRA-PARLYO,0-0,0,0,X,2026-09-14
RMA-RAY,4-1,4,1,1,2026-09-14
EPL-SUNARS,0-2,0,2,2,2026-09-14
MX-TOLATL,5-2,5,2,1,2026-09-14
MX-MONTIG,0-0,0,0,X,2026-09-14
MX-CRUAMÉ,4-3,4,3,1,2026-09-14
CEL-MAL,1-1,1,1,X,2026-09-14
EPL-COVBRI,0-5,0,5,2,2026-09-14
ITA-LECMON,3-2,3,2,1,2026-09-14
FRA-LILTRO,2-0,2,0,1,2026-09-14
LEV-BAR,2-4,2,4,2,2026-09-14
FRA-LE LEN,2-2,2,2,X,2026-09-14
EPL-MANMAN,0-1,0,1,2,2026-09-14
GER-SV BAY,1-2,1,2,2,2026-09-14
ITA-NAPBOL,1-0,1,0,1,2026-09-14
GET-DEP,1-1,1,1,X,2026-09-14
ITA-SASJUV,3-2,3,2,1,2026-09-14
FRA-BREPAR,0-1,0,1,2,2026-09-14
RSO-ATM,0-3,0,3,2,2026-09-14
MX-SANFC ,2-1,2,1,1,2026-09-14
